sha256,size_bytes,copy_count,source_relative_path,destination_relative_path
04e1e5a54a6ff1158d0d38528ea59de9977afc1a854176472aa986a0955af21b,668,2,community-platform/node_modules/next/dist/compiled/react-server-dom-webpack-experimental/server.browser.js,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/react-server-dom-webpack-experimental/server.browser.js
04f0926fa2977a658580074b93eb2f279754988392beb964d28da6d7fb5bab74,41364,2,Church/CH-026-Ministerial-Course-of-Study.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/Church/CH-026-Ministerial-Course-of-Study.docx
04f0926fa2977a658580074b93eb2f279754988392beb964d28da6d7fb5bab74,41364,2,institution/05-operations/ministry/CH-026-Ministerial-Course-of-Study.docx,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-026-Ministerial-Course-of-Study.docx
05df596443e7811d8e773c1b95aa21bbd27f76436406ed9671f4f63d832c962c,40216,2,institution/06-templates/succession/SUC-SEL-001-Selection-Docket.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/succession/SUC-SEL-001-Selection-Docket.docx
05df596443e7811d8e773c1b95aa21bbd27f76436406ed9671f4f63d832c962c,40216,2,operations/templates/08-Succession/SUC-SEL-001-Selection-Docket.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/08-Succession/SUC-SEL-001-Selection-Docket.docx
06ee30cd4b21cfd5e1f8f32a958d067377c65f5f0877b8d201467ddfaeebd5f9,40335,2,institution/06-templates/discipline/DISC-INT-001-Complaint-Intake-Record.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/discipline/DISC-INT-001-Complaint-Intake-Record.docx
06ee30cd4b21cfd5e1f8f32a958d067377c65f5f0877b8d201467ddfaeebd5f9,40335,2,operations/templates/01-Discipline/DISC-INT-001-Complaint-Intake-Record.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/01-Discipline/DISC-INT-001-Complaint-Intake-Record.docx
077f714f6eb967f9a27638f203898b48f78cc23a6a395416f8a8871071964499,43048,2,institution/06-templates/manuals/MIN-OPS-001-Ministerial-Credentialing-Procedures-and-Forms-Manual.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/manuals/MIN-OPS-001-Ministerial-Credentialing-Procedures-and-Forms-Manual.docx
077f714f6eb967f9a27638f203898b48f78cc23a6a395416f8a8871071964499,43048,2,MIN-OPS-001-Ministerial-Credentialing-Procedures-and-Forms-Manual.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/top_level_institutional_exports/MIN-OPS-001-Ministerial-Credentialing-Procedures-and-Forms-Manual.docx
087e4fdf120457dd86460f414a4b052bf6f5370c9af84b50eec9f0cb41557381,4812,2,institutional_integrity/institutional_integrity_v0_3/references_v03/67_current_legal_source_notes.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_3/references_v03/67_current_legal_source_notes.md
